,Topic,Count,Name,Representation,Llama2,Representative_Docs,mean,sem,median
41,40,159,40_mulroney_schreiber_inquiry_brian,"['mulroney', 'schreiber', 'inquiry', 'brian', 'justice', 'public', 'mr', 'prime', 'karlheinz', 'he']",Mulroney-Schreiber Affair,"['Mr. Speaker, I have a question on Mulroney-Schreiber. The mandate of the commission of inquiry into the Mulroney-Schreiber theft is so limited that many questions will remain unanswered. Yet the government has the duty to shed light on this affair. Why is the Prime Minister protecting Brian Mulroney? Why is he hiding the truth?', 'Mr. Speaker, in his report, Mr. Johnston recommends confidential interviews for the inquiry into the Schreiber-Mulroney affair. But it is because of the public nature of the testimony heard in the Standing Committee on Access to Information, Privacy and Ethics that we learned that significant amounts of cash had been paid to Brian Mulroney by Karlheinz Schreiber. Will the Prime Minister admit that if he truly wants to shed light on the Mulroney-Schreiber affair he has to ensure that the inquiry is as broad as possible and entirely public?', 'Mr. Speaker, we know that Karlheinz Schreiber sent numerous letters about his dealings with Brian Mulroney to the Prime Minister and at least three of his ministers. They all had access months ago to the paper trail and did nothing. The letters confirm that Mr. Schreiber and Mr. Mulroney had dealings on the light armoured vehicle project when Mr. Mulroney was prime minister. As a result, Mr. Schreiber received $4 million and some of that money flowed back to Brian Mulroney. Does the government think that such a payment is okay?']",0.36293322,0.01359721363893308,0.34911335
93,92,53,92_trusts_income_promise_trust,"['trusts', 'income', 'promise', 'trust', 'investors', 'savings', 'tax', 'broken', 'canadians', 'finance']",Broken Promises on Income Trusts,"[""Mr. Speaker, three weeks ago, the Conservative minority government double-crossed income trust investors. The government promised that the billions of dollars of overnight losses would be recovered but they were not. The government's take a Valium approach was an insult and simply did not work. The Prime Minister promised not to tax income trusts and Canadians invested based on that promise. Canadians then lost much of their hard-earned savings because the Prime Minister broke his promise. How can average Canadians ever trust the Conservative minority government again?"", 'Mr. Speaker, let us get back to broken promises, beginning with the mother of all broken promises. Loudly and repeatedly, the Conservatives promised they would never tax income trusts, and last week that is precisely what they did. As a consequence of this broken promise, a million Canadians, who had taken the government at its word and invested in income trusts, lost more than $20 billion. How can Canadians believe anything the government says?', 'Not a single space, Mr. Speaker. That is another broken promise. There is a third one. I have only three questions, so I will give three examples, but there are so many. He broke his promise to the retirees of this country. He did not protect their savings in the income trusts. This is the comment he made: “A Conservative government will... preserve income trusts by not imposing any new taxes on them”. Why did he break his promise? Why did he not use the budget to correct the harm this did to so many Canadian families?']",0.39590833,0.02755676197937056,0.397901
63,62,103,62_prime_minister_ethics_his,"['prime', 'minister', 'ethics', 'his', 'ministers', 'was', 'of', 'commissioner', 'lynn', 'he']",Ethics and Accountability in Government,"['Mr. Speaker, since the Prime Minister is not here, I will direct my question to the Minister of Industry. When the Prime Minister was in opposition, he said on several occasions that it was a clear question of integrity and that it was important to do the right thing. When ministers found themselves in situations of questionable ethics, the leader of the opposition at the time called for their resignation. So why does the minister not tender his resignation to the Prime Minister of Canada immediately?', ""Mr. Speaker, under Conservative rule, ministers who break ethics and conflict of interest rules get off scot-free. No slap on the wrist, no explanation to the House, no consequences, nothing. The Ethics Commissioner noticed this, and that is why she is now asking for the power to impose fines. Greater powers for the commissioner may act as a deterrent for repeat offenders like the Minister of Industry, who is the subject of not one, not two, but three investigations. My question is very simple: will the Conservatives agree to the Ethics Commissioner's request and give her the power she needs to put an end to this impunity?"", 'Mr. Speaker, the Minister of National Defence has been at the centre of several investigations involving a call on ECBC, one by the Public Service Commission and an ongoing one by the Ethics Commissioner involving John Lynn, with whom he is familiar. I can inform the House today that a third investigation has now been initiated surrounding ECBC. It is related to the hiring of people right out of the office of the Minister of National Defence, this one by the Public Sector Integrity Commissioner out of concern for potential gross mismanagement at ECBC. Who will be accountable for all this? Is it the current Minister for the Atlantic Canada Opportunities Agency, the former minister for ACOA or the Minister of National Defence?']",0.39926928,0.019208671207672244,0.4023614
15,14,398,14_prime_couillard_minister_information,"['prime', 'couillard', 'minister', 'information', 'was', 'the', 'documents', 'he', 'security', 'his']",Government Transparency and Security Breaches,"[""Mr. Speaker, on Sunday afternoon, Ms. Couillard returned the secret documents to the government. The documents had been left at her house by the former foreign affairs minister. Yet at noon the next day, we heard the Prime Minister say once again that he was not taking this matter seriously. How could he say that when his government had already known for nearly 24 hours that documents had been left at Ms. Couillard's house? Why was he still trying to cover up this matter the next day?"", ""Mr. Speaker, the government has repeatedly denied knowing anything about Ms. Couillard's past and security issues that were raised. Yet Ms. Couillard said that she told the former minister of foreign affairs about her shady past early on in their relationship. Ms. Couillard also said that she was sure she had been investigated, but as she had not authorized it, the government was not within its rights to release the results of the investigation. Why did the Prime Minister hide the fact that he had known since the beginning about Ms. Couillard's past and the security risk it represented?"", ""Mr. Speaker, the Prime Minister is being ambiguous. I am asking him to either give us a clear answer or tell us why he does not want to answer these questions. Let him answer, because this issue is very important to Canadians. It is a matter of national security. Did he or did he not receive information on Ms. Couillard's past before the matter was made public?""]",0.408664,0.008810296278051627,0.41145483
78,77,77,77_sauv_cocktail_contract_party,"['sauv', 'cocktail', 'contract', 'party', 'contracts', 'works', 'broccolini', 'conservative', 'contractor', 'paul']","""Government Contracts and Fundraising Activities""","['Mr. Speaker, let us review the timing with the Minister of Natural Resources. In addition to three businesses that won contracts for Hill renovations, Joseph Broccolini also attended the Conservative fundraising activity in January 2009. And we know that after the fundraising cocktail party Broccolini Construction won at least three contracts totalling $600 million to build federal buildings. Will the Minister of Natural Resources, who attended this fundraiser as the public works minister, admit that under Alfonso Gagliano, government suppliers were expected to fund the party in power? Back then, it was the Liberals, now it is the Conservatives.', ""That was a good try, Mr. Speaker. This morning, Paul Sauvé said under oath that each contract required a 3% kickback and that fundraising events for Conservatives in Quebec had to be organized as a thank you. Gilles Prud'homme, president of the Conservative association in Bourassa, who has ties to the construction industry, asked him to do fundraising for his party. The Minister of Natural Resources talked about contracts with Joseph Broccolini for 40 minutes at this cocktail party. Paul Sauvé talked about contracts at the cocktail party with the minister's assistant, Marc Vallières, who reported back to the minister. Why is this minister still a member of the government?"", ""Mr. Speaker, let us go over the facts concerning the awarding of contracts by the Department of Public Works. A contractor, Mr. Sauvé, won a $9 million contract to renovate the Parliament buildings. A few months later, Mr. Sauvé held a cocktail fundraiser for the Conservative Party. The party's Quebec lieutenant, who was also the minister of public works at the time, attended this cocktail party. Does the Minister of Natural Resources, who was the minister of public works, think it was appropriate to attend a cocktail fundraiser for his party organized by a contractor to whom his department had just awarded a $9 million contract?""]",0.41225806,0.022898925550707615,0.40662926
88,87,61,87_kairos_cida_funding_she,"['kairos', 'cida', 'funding', 'she', 'her', 'decision', 'cut', 'minister', 'organization', 'cooperation']",Cuts to Foreign Aid Funding,"['Mr. Speaker, there is still no explanation. The Conservatives have turned their guns on an organization that the government, as well as Canadians, have supported for 35 years. The Conservatives have abandoned the over five million people in developing countries who KAIROS helps and they have done it despite the fact that CIDA said that KAIROS should qualify for funding. The minister will not even tell us why. I am giving the minister one last chance to please explain why she denied funding to KAIROS in full knowledge that its good work was aligned with the priorities of and recommendation by CIDA.', 'Mr. Speaker, the Minister of International Cooperation still maintains that CIDA halted its grants to KAIROS because that organization is inefficient. Yet her own officials recommended that the funding requested by KAIROS be renewed. They indicated that CIDA should not put an end to the 35-year relationship it had had with KAIROS. Can the minister tell us why she overturned a decision made by her own officials?', 'Mr. Speaker, yesterday the CIDA minister admitted that she ordered that the KAIROS document be doctored. She wanted KAIROS and Canadians to believe that it was the CIDA officials who rejected the application, knowing full well that it was not true. Regrettably, she did not use her statement yesterday to apologize to KAIROS and the millions of Canadians who have supported KAIROS over the last 35 years. Will she do so today?']",0.41705266,0.02052554454778793,0.41455275
53,52,125,52_advertising_ads_dollars_million,"['advertising', 'ads', 'dollars', 'million', 'money', 'spent', 'spending', 'taxpayers', 'partisan', 'millions']",Government Advertising Spending,"[""Mr. Speaker, it is unbelievable that the Conservatives are spending millions of dollars on ads for an anniversary that is still three years away. Come on. They did not spend millions of dollars on ads today to announce the end of home mail delivery. There were no ads to announce the cuts to veterans' services, and there were certainly no ads to announce the elimination of jobs in the public service. Instead of spending millions of dollars on their partisan advertising, why not invest in essential services for Canadians for once?"", 'Mr. Speaker, we are talking about taxpayer money. It is completely ridiculous. The Conservatives are running ads to promote programs that do not even exist. Advertising Standards Canada has indicated that these ads constitute false advertising. The Conservatives have not put a single penny into TV advertising to make people aware of the importance of getting the flu shot, for example. Conservative propaganda is more important than public health. Will the Conservatives stop wasting money on improving their image?', ""Mr. Speaker, the Conservatives promised to keep Canadians informed of the money spent to stimulate the economy, to come clean and to be transparent. Instead, they decided to use taxpayers' money, millions of dollars worth, to pay for advertising that is as partisan as it is misleading. Since it is completely false to claim that 80% of the money has been spent, will they at least have the decency to pay for that advertising out of the Conservative Party budget or share the cost with their Liberal allies, the only ones who believe them?""]",0.4239353,0.017123172808854704,0.42165688
89,88,59,88_jaffer_rahim_lobbying_lobbyist,"['jaffer', 'rahim', 'lobbying', 'lobbyist', 'jaffers', 'his', 'unregistered', 'did', 'was', 'parliamentary']",Lobbying Activities in the Canadian Government,"['Mr. Speaker, the Prime Minister, who supports transparency, must shed light on the number of contacts his government had with the unregistered Conservative lobbyist, Rahim Jaffer. Is the Prime Minister willing to provide the list of all meetings that he, his ministers, his parliamentary secretaries and their staff had with Rahim Jaffer?', 'Mr. Speaker, the parliamentary secretary himself admits that he was not sure whether or not it was lobbying. These doubts clearly did not prevent him from meeting Mr. Jaffer again on September 3, 2009, the same day that the Minister of Transport, Infrastructure and Communities was having dinner with Mr. Jaffer. Eight days later, Mr. Jaffer bragged to his clients about having privileged access to the green fund. Does the minister still claim that Mr. Jaffer was not lobbying?', ""Mr. Speaker, there is no contract, but the fact that Mr. Jaffer broke the law does not excuse the Prime Minister, who is a control freak, from checking whether any of his ministers met with Mr. Jaffer as a lobbyist. The Minister of State for Science and Technology confirmed that Mr. Jaffer's business partner had met with him about a number of projects. The minister himself said that. Will the Prime Minister admit that Mr. Jaffer lobbied ministers? Surely Mr. Jaffer was not lobbying himself. He was meeting with ministers to lobby them. Did he meet with one or more ministers, yes or no?""]",0.44040102,0.024298725329472252,0.5059887
80,79,74,79_potash_takeover_takeovers_saskatchewan,"['potash', 'takeover', 'takeovers', 'saskatchewan', 'foreign', 'investment', 'potashcorp', 'corporation', 'strategic', 'bhp']",Foreign Takeover of Potash Industry,"[""Mr. Speaker, just repeating the falsehood does not make it true. The proposed takeover of the Potash Corporation of Saskatchewan amounts to the takeover of the entire Canadian industry. It is the biggest proposed resource takeover ever, and many people in Saskatchewan and beyond, including prominent business leaders, are asking: After potash is gone, what is left? Even the former chairman of BHP said, “Canada has already been reduced to an industry 'branch office' and is largely irrelevant on the global mining stage”. Will the government stop the bleeding and just say no?"", ""Mr. Speaker, with respect to any possible takeover of the Potash Corporation of Saskatchewan, what is the government's definition of net benefit to Canada? Does the government agree that in this case, involving the biggest potash mining company in the world and the richest potash reserves in the world, all in Saskatchewan, it must be what is best of Saskatchewan that is front and centre? Will the government commit to that and to complete transparency and enforceability in deciding this matter?"", 'Mr. Speaker, it is clear that everyone, except perhaps the Prime Minister, the industry minister and the 13 Conservative MPs from Saskatchewan, opposes the foreign takeover of our potash industry. Clearly the BHP Billiton bid for PotashCorp brings no net benefit to Saskatchewan or to Canada. Why will the Conservatives not act now, put their hopeless approach to foreign investment review out of its misery and turn down this deal today? Is it because, as the Prime Minister said in answer to our leader just two weeks ago, this is just the purchase of an American company by an Australian company?']",0.44114658,0.01786419881412594,0.44775134
51,50,131,50_apologize_comments_minister_apology,"['apologize', 'comments', 'minister', 'apology', 'prime', 'he', 'his', 'remarks', 'member', 'and']",Accountability in Government,"['Mr. Speaker, not only did the Minister of Foreign Affairs make these unacceptable comments but, to add insult to injury, he had the audacity to deny it. He refused to admit that he made the comments that we heard yesterday right here. Nevertheless the tapes show beyond a shadow of a doubt that he did make these comments. Will the Prime Minister order the Minister of Foreign Affairs first of all to tell the truth, and second, to acknowledge that he made these comments and to apologize publicly?', ""Mr. Speaker, what is going on with this minority Conservative government? It seems incapable of admitting the slightest error. For weeks, the Prime Minister refused to admit that cutting the women's program was a mistake. The Minister of Foreign Affairs made those unacceptable comments four days ago. Why has the Prime Minister not yet said a thing about it in the House? Why has he not demanded that his minister apologize? Why has he not called him to order?"", ""Mr. Speaker, the Prime Minister has now had four days to reflect on the statement made by his Minister of Foreign Affairs. This matter has to do with respect for women, acceptance of responsibility for one's actions, integrity, accountability for the truth and the dignity of the House of Commons. In view of the silence of the Minister of Foreign Affairs, is the Prime Minister now prepared to apologize for the totally inappropriate remarks of the minister in this House?""]",0.44640672,0.01666435063770294,0.44882283
