,Topic,Count,Name,Representation,Llama2,Representative_Docs,mean,sem,median
51,50,98,50_illegal_taxpayers_vacation_prime,"['illegal', 'taxpayers', 'vacation', 'prime', 'he', 'back', 'pay', 'ethics', 'gift', 'expenses']",Ethics Violations and Financial Accountability,"[""Mr. Speaker, this Prime Minister is the first Canadian prime minister to break our ethics laws. He billed taxpayers over $200,000 by accepting more than one luxury vacation. Taxpayers should not have to pay for the Prime Minister's illegal actions. Will the Prime Minister do the right thing and reimburse taxpayers for his trips to Bell Island?"", ""Mr. Speaker, in Canada, when someone is found guilty of improper conduct, a sanction or fine is imposed. In her report on the Prime Minister's family vacation, the Ethics Commissioner clearly found that he broke the law several times, including by accepting this trip offered by a so-called friend, whom he had not seen in 30 years. The Prime Minister is not above the law; he should be setting an example. When will he do the right thing and reimburse honest taxpayers who should not have to pay for his illegal vacation?"", ""Mr. Speaker, we accept the findings of the Ethics Commissioner's report. The commissioner found that by accepting a gift from someone who has business dealings with the government, the Prime Minister broke the law. When the Minister of Health incurred questionable travel expenses, the Prime Minister forced her to pay it back. When the Prime Minister spends $200,000, however, for an illegal vacation, he excuses himself. Why will he not do the right thing and pay it back?""]",0.36490336,0.016102623436827584,0.38402557
74,73,57,73_shares_sold_morneau_shepell,"['shares', 'sold', 'morneau', 'shepell', '680000', 'finance', 'he', '2015', 'before', 'stock']",Financial Conflict of Interest,"['Mr. Speaker, once again, Canadians want the Minister of Finance to set the record straight, and he has a golden opportunity to do just that. On December 7, 2015, he introduced a tax measure that had a direct impact on Morneau Shepell, whose share price went down 5%. One week earlier, someone had sold $10 million in shares. That person saved half a million dollars the day after the tax measure was introduced. Can the minister tell Canadians the truth? Did he or did he not sell those Morneau Shepell shares on November 30, 2015?', 'Mr. Speaker, on December 7, 2015, the Minister of Finance introduced a motion in the House of Commons to raise taxes effective January 1 of the forthcoming year. The stock market dropped, and so did Morneau Shepell, by five percentage points, but not before someone could sell $10 million in Morneau Shepell shares one week before that drop, and one week before that bill was introduced. Can the minister tell us who sold those shares?', 'Mr. Speaker, here are the facts: in December 2015, the Minister of Finance still owned thousands of shares in Morneau Shepell. On November 30, 2015, someone just happened to sell 680,000 Morneau Shepell shares worth $10 million. On December 7, one week later, the minister introduced tax measures that resulted in a 5% drop in the stock market, allowing this individual to make half a million dollars. Given that the Minister of Finance owned Morneau Shepell at that time, can he tell us who sold these shares?']",0.39059225,0.02453480059491992,0.39627403
3,2,684,2_attorney_former_general_snclavalin,"['attorney', 'former', 'general', 'snclavalin', 'prime', 'truth', 'he', 'the', 'minister', 'justice']",Attorney General Scandal,"[""Mr. Speaker, last week, Liberals on the justice committee did the PMO's bidding by voting against calling key witnesses, including Gerald Butts, the Prime Minister's top political adviser, as well as the former attorney general. Allegations that the former attorney general was pressed by officials in the PMO to interfere in a criminal prosecution are as serious as they get. Will the Prime Minister stop the cover-up and allow Butts and the former attorney general to come to committee, and waive any purported solicitor-client privilege involving the former attorney general?"", ""Mr. Speaker, in less than an hour, the former attorney general will be testifying before the Standing Committee on Justice and Human Rights. Unfortunately, she will not be able to speak her full truth because the Prime Minister will not let her. We are not the ones saying this. It is the former attorney general herself who said it. However, the Prime Minister can reassure Canadians by answering a very simple question here in the House. Did anyone in the PMO or in a minister's office contact SNC-Lavalin representatives to assure them that they would not have to go to trial, yes or no?"", ""Madam Speaker, when the former attorney general was fired, she emphasized the need for an independent judicial system. Why? When the Prime Minister's chief adviser Gerry Butts resigned, he highlighted the former attorney general. Why? When the former attorney general stood in the House this week, she asked to be allowed to speak her truth. Why? Why will the Prime Minister not let her speak her truth and let Canadians get to the bottom of all this?""]",0.41256043,0.006829606525393795,0.4097201
73,72,58,72_security_review_norsat_national,"['security', 'review', 'norsat', 'national', 'chinese', 'sale', 'allies', 'company', 'technology', 'hytera']",National Security Review of Foreign Takeovers,"['Mr. Speaker, when the Prime Minister approves the sale of communications companies to appease the Chinese government, it raises concerns for our allies. Michael Wessel, head of the U. S.-China Economic and Security Review Commission, said that Canada’s approval of the sale of Norsat to a Chinese entity raises significant national security concerns for the United States. My question for the Prime Minister is simple. What harm would it do to conduct a comprehensive national security review of this transaction?', 'Mr. Speaker, in the case of Norsat, a company that manufactures safety equipment to ensure our security and that of the Americans, the Liberals neglected that security. The Chinese did not want a full review, and the Prime Minister responded that there was no problem, we would not do one. This is not a poker game; we are talking about the security of Canadians. When will the Prime Minister finally launch a full risk review for our national security?', 'Mr. Speaker, it gets worse. Normally any deal involving this type of satellite technology would be subject to a formal, national security review. However, in a very troubling development, the industry minister decided that a national security review was not necessary for this Chinese takeover. Canadian national security interests are at stake here. Why did the Prime Minister allow this sale to China to go ahead without the comprehensive security review that it needed?']",0.4208233,0.01723638691043704,0.42925316
9,8,407,8_rules_access_prime_cash,"['rules', 'access', 'prime', 'cash', 'minister', 'ministers', 'liberal', 'fundraising', 'his', 'party']",Ethics and Access to Government,"['Mr. Speaker, the Prime Minister is at it again with another cash for access event, this time with Chinese billionaires. Not only has he broken his own ethical rules, but he has violated Liberal Party guidelines requiring officials to ban anyone from attending a fundraiser if they have direct business interests before the government. Will the Prime Minister finally show some leadership, enforce his own rules, and stop using his government position for his own personal benefit?', 'Mr. Speaker, let us look at those rules. The Prime Minister himself said that he wrote rules banning cash for access events. He stated: There should be no preferential access to government... accorded to individuals... because they have made financial contributions to... political parties. I could not agree more with the words of the Prime Minister on that one. Access to ministers and the Prime Minister should not be based on donations to a political party. Why? Because it is unethical. Therefore, my question for the Prime Minister is this. Where was he last night?', ""Mr. Speaker, we know those rules because we actually brought them in. There is a word for the Prime Minister's attempt to defend the Liberal fundraisers, wrong. We need the Liberals to follow the rules. The Prime Minister knows very well that what is happening is wrong, and he should not be defending this. Canadians should not have to pay $1,500 to access their government. The Prime Minister put in place clear rules on ethics and accountability, and he and his ministers are now violating them. Does he really believe in his own rules for an open and accountable government, or is this—""]",0.43533766,0.00901272753935552,0.4544235
70,69,62,69_bars_killer_tori_healing,"['bars', 'killer', 'tori', 'healing', 'lodge', 'mcclintic', 'toris', 'behind', 'terrilynne', 'staffords']",Criminal Justice Reform,"[""Mr. Speaker, nine months ago, Tori Stafford's killer was behind bars and today she is in a healing lodge. Tori's killer was convicted of the most heinous crime imaginable, something the public safety minister called “bad practices”. Tori's family has called on the Prime Minister to use all of the tools available to him to fix this situation. Today, members will be voting on a motion that would do just that. Does the Prime Minister agree with the decision to transfer Tori's killer to a healing lodge?"", ""Mr. Speaker, Tori Stafford's family does not want the Prime Minister's heartfelt sentiments; it wants him to take action. The family does not want the Prime Minister's excuses; it wants Tori's killer back behind bars. The Conservatives do not respect the decision to put this killer in a healing lodge without fences. We want her back behind bars and so does Tori's family. Why does the Prime Minister not use the authority he has, take action today and put this killer behind bars?"", ""Mr. Speaker, Tori Stafford's killer is finally back behind bars, where she belongs. Canadians were outraged that a child killer more than a decade away from parole eligibility was moved to a fenceless healing lodge. Each and every one of these Liberals voted against our motion that would have forced Tori's killer back behind bars, saying they did not have the power to do the right thing. Will the Prime Minister apologize to Tori Stafford's family for forcing them to fight against him and his government to put Tori's killer back behind bars?""]",0.43814382,0.02298876899109696,0.450047
38,37,118,37_unemployment_jobs_rate_g7,"['unemployment', 'jobs', 'rate', 'g7', 'lost', 'back', 'than', 'canadians', 'is', 'are']",Jobs Crisis in Canada,"['Mr. Speaker, I rise today on behalf of the one million Canadians who have lost their jobs and not gone back to work since February. COVID-19 is present in Japan, Germany, the United Kingdom, the United States, Italy and France, and yet all of those countries have fewer unemployed workers than here in Canada. In fact, our unemployment rate is 3% higher than the OECD average. Can the minister name one G7 country with a higher unemployment rate than Canada, yes or no?', 'Mr. Speaker, Canada has a million missing jobs. That is how many more people are without work today than in February. Now, we have the highest unemployment rate in the G7. It is higher than the U. S., the U. K., France, Italy, Japan and Germany. They all have COVID as well, but their people are getting back to work. Our unemployment is three percentage points higher than in the OECD. When will the government table a real jobs plan so that Canadians can get back into the jobs they love, to put food on their tables and to provide the funds for our cherished social safety net?', ""Mr. Speaker, Germany, the United Kingdom and Japan are also dealing with COVID-19, but their unemployment rates are half that of Canada. Our unemployment rate is not only twice as high as those of these three countries, but we also have the highest unemployment rate in the G7. The unemployment rate is 3% higher in Canada than in other OECD countries. Canada has the worst employment record in the G7 and that is a result of this government's policies. Will the government do away with its anti-employment policies so that Canadians can get back to work?""]",0.438308,0.016767263113878154,0.4337967
44,43,112,43_indian_india_atwal_adviser,"['indian', 'india', 'atwal', 'adviser', 'security', 'briefing', 'conspiracy', 'trip', 'media', 'prime']",Government Accountability on India Trip Controversy,"[""Mr. Speaker, yesterday the public safety minister claimed that no classified information was shared with the media by the national security adviser regarding the presence of a convicted terrorist on the Prime Minister's trip to India. He then said that all the information was already reported in the media. Senior, trusted journalists who were on that conference call with the national security adviser say otherwise. They say that they were specifically told that they could not report some things. Why will the Prime Minister not provide the same briefing to members of Parliament that he has already given to the media?"", 'Mr. Speaker, on February 22, the Prime Minister told Canadians that one of his MPs had invited Mr. Atwal in India. Then, on February 27, he claimed that this was a conspiracy by rogue members of the Indian government. Today, Mr. Jean, the national security adviser, revealed that he never mentioned the Indian government in his briefing. Will the Prime Minister do the right thing and withdraw his comments?', ""Mr. Speaker, since the Liberals are continuing to block us from asking Mr. Jean, the national security adviser, questions, I will ask the Prime Minister. The CBC story that ran after Mr. Jean's briefing to journalists said that he told journalists to ask questions about whether the Indian government invited Jaspal Atwal to the Prime Minister's event in India. Did the Prime Minister's Office ask the national security adviser to plant a story about the Indian government to deflect from the Liberals' terrible India trip?""]",0.44078344,0.01682364905604324,0.45055896
28,27,182,27_norman_viceadmiral_mark_documents,"['norman', 'viceadmiral', 'mark', 'documents', 'normans', 'trial', 'case', 'defence', 'prime', 'evidence']",Political Interference in the Mark Norman Case,"['Mr. Speaker, the former parliamentary secretary to the Minister of Foreign Affairs is going to testify against the government in the case of Vice-Admiral Mark Norman. This is the latest blow to a Prime Minister who continues to hide documents in the Norman case because he is afraid of what will come to light. When will the Prime Minister do the right thing, meet his obligations and provide all requested documents, unredacted, to ensure that Mark Norman gets the fair trial he deserves?', ""Mr. Speaker, on Wednesday, Vice-Admiral Mark Norman's lawyer said, “No person should walk into a courtroom fighting their elected government or any sort of political factors.” Unfortunately, this is exactly what happened in the Mark Norman trial. The Prime Minister interfered in the judicial process. He withheld documents from the defence. The Liberals denied Mark Norman access to his own emails. Why did the Prime Minister so clearly have his finger on the scales of justice in the Mark Norman case?"", ""Madam Speaker, we are confident that the director of public prosecutions did her job and made the right call to admit that there was no case against Mark Norman, but Mark Norman's name was first given to the RCMP by the Prime Minister. Mark Norman was not at the cabinet meeting. Mark Norman was not the source of the cabinet leak. In fact, he was just one of 73 names of people who knew about Scott Brison's attempt to kill the Davie deal. Why did the Prime Minister single out Vice-Admiral Mark Norman to blame for the leak from his cabinet meeting?""]",0.45026684,0.013052775347271285,0.4539433
68,67,64,67_huawei_5g_security_network,"['huawei', '5g', 'security', 'network', 'chinese', 'ban', 'allies', 'eyes', 'our', 'threat']",Huawei Ban and Security Concerns,"[""Mr. Speaker, New Zealand is the latest of Canada's security allies to do the right thing and ban Huawei from its 5G networks, yet the Liberals refuse to put the security of Canadians first and do the same. Giving the Chinese government access to our 5G network is both irresponsible and wrong. When will the government join our allies and say no way to Huawei?"", ""Mr. Speaker, on the contrary, it is entirely appropriate to speak of Huawei. Our four Five Eyes allies banned the Chinese giant from the rollout because they perceive Huawei as a threat to national security and privacy. Australia, New Zealand, the United Kingdom and the United States banned Huawei. The Americans even warned us that Huawei could be a problem and would be required to give personal information to the Chinese government. When will the Liberals ban Huawei? Would they rather see Canadians' personal information in the hands of the Chinese?"", ""Mr. Speaker, first the Prime Minister said he was going to make a decision on Huawei before the last election, and he did not. Then he said he was going to listen to our allies before he made a decision, then he did not. Our Five Eyes allies have all decided that Huawei cannot be in our 5G infrastructure. Will the Prime Minister come clean with Canadians and admit he wants Huawei to be part of Canada's 5G network?""]",0.45092106,0.023394834250211716,0.48181498
65,64,67,64_defence_he_minister_national,"['defence', 'he', 'minister', 'national', 'his', 'uniform', 'military', 'men', 'has', 'him']",Defence Minister's Credibility Crisis,"['Mr. Speaker, the use of “alternative facts” damaged the reputation of the Minister of National Defence so badly that he has lost all credibility. He has lost the confidence of our troops, he is an embarrassment to veterans, and Canadians no longer believe him. He is a laughing stock and none of our allies will take him seriously. The Prime Minister lacks judgment because he refuses to dismiss his defence minister. As a veteran, I am asking the Minister of National Defence, who is a veteran, to step down if he has any honour left.', 'Madam Speaker, we all know that the defence minister misled Canadians by claiming at least twice that he was the architect of Operation Medusa. In doing so, he has lost all credibility, and he needs to step down. However, the Prime Minister has a responsibility as well. The Prime Minister needs to stand up for our military and put their interests first, ahead of protecting the Minister of National Defence. Does the Prime Minister realize that by not moving his defence minister out he is condoning his actions and sending a very troubling message to our men and women in uniform?', ""Mr. Speaker, here is an idea. The Prime Minister can actually be an architect and rebuild his cabinet and fire the defence minister. The Prime Minister's lack of judgment in failing to remove the defence minister is appalling. The defence minister misled Canadians on multiple occasions over the past two years regarding his service record in Afghanistan. His deceit and deception have lost him the respect of our brave men and women in uniform, Canadians, and our allies. The Prime Minister says he supports the defence minister, so he must know why the defence minister has told this concocted story. Will the Prime Minister tell Canadians why the defence minister fabricated history?""]",0.46003628,0.018062749540192068,0.46717918
77,76,50,76_apologize_his_for_and,"['apologize', 'his', 'for', 'and', 'prime', 'apology', 'minister', 'he', 'the', 'of']",Apologetics and Respect for Official Languages,"['Mr. Speaker, regarding the Davie shipyard, it is high time the Liberals put their money where their mouth is. The Minister of National Revenue showed a lack of respect yesterday for my constituents and the people represented by all opposition members with her contemptuous remarks in question period, although she did apologize. Will the Prime Minister, who is the grand master of apologies, follow suit and apologize to honest taxpayers, the people who pay their taxes, while his government is giving a free pass to the wealthy by signing more agreements with tax havens? This deserves a real apology.', 'Mr. Speaker, the Prime Minister can do more than just hope that people talk to each other with respect. He can order his finance minister to apologize for his insulting and sexist remarks. The finance minister did not like being challenged by a strong Conservative woman, and he reacted by using sexist language and insulting terms. Will the Prime Minister do the right thing and go beyond just hoping, and order his finance minister to apologize for his embarrassing behaviour?', ""Mr. Speaker, in January, there were two incidents where the Prime Minister should have answered a question in one language but instead he answered in the other. With his usual arrogance, the Prime Minister demonstrated his lack of respect for Canadians and official languages. On behalf of Canada's linguistic minorities, I am calling on the Prime Minister to publicly apologize for his blatant lack of respect for those communities. Will the Prime Minister apologize and finally show respect for Canada's official languages?""]",0.46149525,0.024945670177070254,0.45877552
